TIC,role,verdict,sector,lc_pts_in_sector,t0_shift_phase,lc_dip_sigma,compactness,n_in,n_out,dip_sigma,diff_peak_snr,centroid_offset_px,centroid_offset_arcsec,nearest_capable_TIC,nearest_capable_dist_px,nearest_capable_dTmag,n_capable_in_cutout,note
427332229,control,ON_TARGET,42,10982,0.0025000000000000577,60.70637055015959,0.9241947661656087,76,1238,36.40752487323658,11.892057769854155,0.38014954669610856,7.98314048061828,,,,0,
158329671,control,OFF_TARGET,9,1101,0.010000000000000009,217.918114876731,0.7954905040651349,61,459,18.912508410101392,227.74456442873387,1.8508421609388102,38.86768537971501,158329676,0.061840494748520394,-4.4039,4,
287846593,candidate,OFF_TARGET,6,902,-0.002500000000000002,119.11194139619762,0.7800161750714062,34,381,42.31413908363873,162.64329569790897,1.3883109218965053,29.15452935982661,287846583,0.16582680931066876,-8.08693,25,"saturated star in cutout (TIC 287846583, Tmag 6.8) - bleed trails can carry its variability;"
146204013,candidate,OFF_TARGET,9,1103,0.0,742.0444412736999,0.7951898105185554,10,527,61.390973680842954,67.19429442913591,1.1064043872341232,23.234492131916586,146204045,0.16961379290034975,-4.7331,27,
437150434,candidate,ON_TARGET,34,3368,-0.007500000000000007,645.3943906484343,0.8009018480308295,69,1513,361.0828054125679,85.32720316797904,0.06569195083931154,1.3795309676255423,437150402,1.745417481253805,1.4598999999999993,5,
118352931,candidate,INCONCLUSIVE,91,9321,0.0,330.27063949445477,0.14806616826630078,26,3737,-44.68170127494114,236.48180687359493,6.462443637159496,135.71131638034942,118352793,9.340541822420048,0.9478000000000009,3,dimming is spread across the cutout rather than one star (background/systematics) - source cannot be located
426236217,candidate,OFF_TARGET,12,1085,-0.007500000000000007,116.578530206376,0.7788707636438079,42,521,153.20000441640568,307.94490780667223,1.4319397306293833,30.070734343217048,426236231,0.006112523474630864,-2.8415,16,
136191877,candidate,OFF_TARGET,81,11059,-0.007500000000000007,1074.3864224643503,0.8032457480228917,1002,4414,552.3362672149635,700.1191445497242,1.610144273517185,33.81302974386088,136191848,0.1510895013386751,-0.9133999999999993,3,
421566477,candidate,OFF_TARGET,12,1085,-0.0025000000000000022,88.39218412008388,0.8160343677895845,128,507,108.33800165885212,338.97155663632543,1.9678892286411442,41.32567380146403,423398759,0.08725772131513858,-4.207800000000001,315,
237115819,candidate,ON_TARGET,74,11267,0.0,51.14592382978248,0.830914804553659,26,5077,67.90688424260942,27.820544463473254,0.1753078533105561,3.681464919521678,237115821,1.7220597860086806,2.4997000000000007,4,
464765654,candidate,OFF_TARGET,12,1051,0.007500000000000061,59.00615062683624,0.8281122386421588,126,469,11.185092242021518,280.04549834347006,3.1361466471639607,65.85907959044317,464765603,0.08136366334243873,-4.732199999999999,58,
73561499,candidate,OFF_TARGET,80,11071,0.04500000000000004,136.19115049909607,0.8572554745080433,974,4202,66.72441302159628,102.5050789236118,2.0125682672358005,42.26393361195181,73561494,0.06437929010329373,0.38890000000000136,10,
329832608,candidate,INCONCLUSIVE,11,1077,-0.010000000000000009,321.15738873745664,0.42130903709718215,23,519,-2.1072784099612605,38.0129213689858,2.745227680636381,57.649781293364,1013886066,0.2592142424849113,3.2768000000000015,393,dimming is spread across the cutout rather than one star (background/systematics) - source cannot be located
318928219,candidate,OFF_TARGET,11,1080,0.0025000000000000577,71.2179022856134,0.7907194316450505,54,471,34.80156948885506,59.47529136588213,2.4070162011927962,50.54734022504872,318928053,0.10836640214044002,-3.218400000000001,97,
76879277,candidate,OFF_TARGET,71,10227,0.01749999999999996,235.84731110060153,0.7613304428443928,619,4149,18.170835258496172,20.59748887314103,1.2585431219984702,26.429405561967872,76879303,0.22584000297375925,-1.7850000000000001,6,
