TIC,verdict,bls_depth,bls_snr,n_eclipses_observed,target_Tmag,tic_contratio,dm_max,n_neighbours,n_capable_neighbours,blend_status,best_nbr_TIC,best_nbr_dTmag,best_nbr_sep_arcsec,best_nbr_required_depth,capable_nbr_known_as
111149941,NOVEL,0.0004546419920715,10.185398171399184,3.0,10.0483,0.0123484107,8.355826135107128,7,4,BLEND_POSSIBLE,111149944.0,3.3668000000000013,61.52969758514521,0.010101585543990974,
118352931,NOVEL,0.3329912019049989,1035.8642633975048,3.0,11.956,,1.1939181025299015,121,0,BLEND_RULED_OUT,,,,,
119459681,NOVEL,0.1597707075177683,310.5707953376803,3.0,14.0858,,1.9912571040055338,37,3,BLEND_POSSIBLE,119459654.0,1.1273999999999997,42.03931658075125,0.4512915048471718,
122328031,NOVEL,0.0125579914506316,70.26337245360904,3.0,13.9897,,4.752699542353432,73,34,BLEND_POSSIBLE,122328055.0,-1.2815999999999992,31.44457808848272,0.0038572712746732826,
125900581,NOVEL,0.0258281203990943,13.374851242380425,7.0,14.8785,,3.969767994439267,91,41,BLEND_POSSIBLE,125952053.0,-1.8201,62.0570119056894,0.004831175366792934,
1326118009,NOVEL,0.0350042744208291,56.07358787081197,5.0,14.8663,,3.639697300264768,537,158,BLEND_POSSIBLE,346948140.0,-2.6732000000000014,46.82162675843875,0.0029842903864637197,
136191877,NOVEL,0.5656905815020541,555.2885829234801,171.0,13.1434,,0.6185526300260196,172,2,BLEND_POSSIBLE,136191848.0,-0.9133999999999993,29.0794040802952,0.24390401417140048,
137091217,KNOWN_OTHER_TYPE,0.0010750287904441,149.3420560037325,104.0,14.5701,,7.421449761781234,68,68,BLEND_POSSIBLE,137091234.0,-1.7071000000000005,42.12816221735585,0.00022314137007187115,
138407805,KNOWN_OTHER_TYPE,0.0051599895060274,78.9407971409491,67.0,11.1572,0.2024131,5.718377954012896,27,7,BLEND_POSSIBLE,138407795.0,1.6479,31.14334415166301,0.02354012791297897,
142841561,NOVEL,0.0309780403043623,96.8776297735366,23.0,14.0142,,3.7723651488114034,85,29,BLEND_POSSIBLE,142841549.0,-1.3581000000000003,52.20446157164957,0.008867760199367728,
146204013,NOVEL,0.2063522345940655,2793.690762175509,4.0,14.7012,,1.7134770594353097,88,10,BLEND_POSSIBLE,146204045.0,-4.7331,26.62404439379824,0.0026385733776031926,
146608979,NOVEL,0.0096821746189435,36.47146913521904,13.0,14.1553,,5.035067722705149,24,14,BLEND_POSSIBLE,146608972.0,0.13020000000000032,51.477404092876014,0.010915733167892162,
153080360,NOVEL,0.0065641126907423,111.9771643914806,28.0,10.7353,0.718149662,5.457059929289806,120,8,BLEND_POSSIBLE,153080363.0,3.0662000000000003,62.15360236767889,0.11057476582229545,
153336799,KNOWN_OTHER_TYPE,0.0096974595409396,56.13702699606745,35.0,13.569,,5.0333550591427425,109,48,BLEND_POSSIBLE,153336849.0,0.7418999999999993,42.59534352411485,0.019205162064186636,
154831114,NOVEL,0.0321311863896544,114.75730765267308,25.0,13.59,,3.7326830964100353,84,9,BLEND_POSSIBLE,154831109.0,1.6288,50.12832638547334,0.14402794408620992,
158329671,CONTAMINATED,0.1181365006913262,674.2709071442584,15.0,13.9382,,2.3190397436954933,14,2,LIKELY_CONTAMINATION,158329676.0,-4.4039,40.00067869709569,0.002045615955773148,TESS_EB
160130060,NOVEL,0.0591262341718899,67.71893756567215,8.0,14.8425,,3.0705494522760306,424,115,BLEND_POSSIBLE,160129957.0,-3.6914999999999996,52.6475541951913,0.001973241401810807,
19938261,KNOWN_OTHER_TYPE,0.0648366854418897,139.4451713677607,9.0,14.4227,,2.970447987762511,22,9,BLEND_POSSIBLE,19938253.0,-2.036900000000001,55.0134234151548,0.009932551027885414,
203279104,NOVEL,0.0002040231467662,32.51581597281258,21.0,7.26149,,9.22580139586447,5,1,BLEND_POSSIBLE,203279111.0,5.75431,42.45833836524729,0.040869887443198305,
207754858,NOVEL,0.0028047412999111,14.044313028566512,3.0,14.7551,,6.380267976128647,669,669,BLEND_POSSIBLE,207754966.0,-3.2208000000000006,53.34300055926216,0.00014440186739908575,
208358448,NOVEL,0.0150610035627843,118.66098785556149,8.0,12.8226,1.1357348,4.55536522185583,164,21,BLEND_POSSIBLE,208358455.0,-0.6311,7.495373619558743,0.008421974289117498,
220148279,NOVEL,0.0156983523137653,35.864218316498786,5.0,14.0199,,4.510364820981968,56,32,BLEND_POSSIBLE,220148254.0,-1.0122999999999998,54.61112557770248,0.006179225888256271,
230275619,NOVEL,0.0004485323326751,11.45843335931336,25.0,11.6224,0.117038481,8.370515612897213,38,28,BLEND_POSSIBLE,230275636.0,1.138,44.915095021463934,0.001279362906774171,
231260455,NOVEL,0.0884634213696254,109.0356776339106,23.0,13.6155,,2.6330906701818395,342,27,BLEND_POSSIBLE,231255809.0,-3.5067000000000004,51.16059720464109,0.0035001264292166385,
23259249,NOVEL,0.0391535931649554,59.74630065357756,5.0,13.8431,,3.518070940330129,666,69,BLEND_POSSIBLE,23240641.0,-1.8041999999999998,48.42684539649752,0.007431759104830767,
233415701,KNOWN_TOI,0.0100988652846398,63.155952515957104,43.0,13.2883,,4.989318552747387,35,9,BLEND_POSSIBLE,233415700.0,-0.0387000000000004,6.537319971147487,0.00974524089237224,
237115819,NOVEL,0.088832292054031,506.9717837496276,75.0,13.3776,,2.6285728301611275,4,2,BLEND_POSSIBLE,237115820.0,0.8019000000000016,41.13393555091694,0.18592203656323356,
250630820,KNOWN_OTHER_TYPE,0.0242731388705002,321.75923440785914,19.0,11.1837,0.227028623,4.037185148581637,28,3,BLEND_POSSIBLE,250630819.0,2.0023,27.792767299748466,0.15347793263399032,
253168781,NOVEL,0.0081922718239505,54.98500105540781,7.0,13.4308,,5.216489115016307,324,103,BLEND_POSSIBLE,253168777.0,-0.7723999999999993,10.48769708121484,0.0040220211867425335,
273158289,NOVEL,0.0125462734332341,41.26919130495207,19.0,12.9239,,4.753713129225568,214,37,BLEND_POSSIBLE,273158310.0,0.20870000000000033,60.43024242512903,0.015205291426779677,
278233128,KNOWN_OTHER_TYPE,0.2504616924293998,156.38205599887652,3.0,12.5954,,1.5031467227826623,340,2,BLEND_POSSIBLE,278233188.0,-0.3994,53.33012381937672,0.17337293880984836,
281286325,KNOWN_TOI,0.0066087982330431,12.934877501170693,4.0,13.4446,,5.449693767401249,6,3,BLEND_POSSIBLE,281286328.0,2.7523999999999997,29.26531566250169,0.08338395551027598,
282345650,KNOWN_OTHER_TYPE,0.3511603424632393,1235.8258851333342,3.0,10.9674,,1.1362363402709625,218,0,BLEND_RULED_OUT,,,,,
287846593,NOVEL,0.0846077443033173,3076.457002581413,11.0,14.8405,,2.6814747084110913,32,9,BLEND_POSSIBLE,287846583.0,-8.08693,25.541395341930563,4.927630295464958e-05,
29216744,KNOWN_OTHER_TYPE,0.0451810713037801,141.48774443607496,39.0,14.7644,,3.3626086889727325,62,23,BLEND_POSSIBLE,29216776.0,0.22279999999999944,40.17503850628265,0.05547234488196507,
294852916,NOVEL,0.0144593405933424,357.39540457810057,19.0,14.7084,,4.599628780605555,179,109,BLEND_POSSIBLE,294852903.0,-4.145399999999999,21.843083768225547,0.0003176789859450685,
29495157,NOVEL,0.0857856252931797,333.23644002774006,4.0,12.7139,0.166696414,2.6664636970118405,14,1,BLEND_POSSIBLE,29495166.0,-0.4765000000000015,41.77513844597362,0.05531138345044546,
298215657,NOVEL,0.0036197085661879,16.34983997169683,8.0,13.3078,,6.103315986092149,75,45,BLEND_POSSIBLE,298215640.0,-0.7292000000000005,43.68717142742872,0.0018492413910374543,
303470667,NOVEL,0.0221977249554096,56.9755696599801,4.0,14.519,,4.134228835263272,56,30,BLEND_POSSIBLE,303470640.0,-1.2504000000000008,51.11625559781446,0.007016951356631711,
304809821,KNOWN_OTHER_TYPE,0.0372732709724049,127.16795161523324,65.0,14.1732,,3.5715062335076633,409,86,BLEND_POSSIBLE,304948589.0,-2.1923999999999992,57.7024222477663,0.004948089045879174,
304889252,NOVEL,0.0567387241544411,230.28107172110185,42.0,14.7065,,3.1153010852962963,291,64,BLEND_POSSIBLE,304889118.0,-2.002700000000001,60.36348263317867,0.008970147117630979,
309240602,NOVEL,0.0706914616810379,234.36121843983744,13.0,12.9081,0.8609249,2.876582595944144,33,6,BLEND_POSSIBLE,309240600.0,-0.5846999999999998,3.287575601892368,0.04125598510696592,
309672362,NOVEL,0.0041137198726922,23.285909148859467,14.0,12.5952,,5.964413213230673,649,208,BLEND_POSSIBLE,309672339.0,0.34699999999999953,54.85032061000062,0.005662845523742729,
313356920,KNOWN_OTHER_TYPE,0.0084937860584415,52.94050393866905,11.0,13.3232,,5.177246705552085,6,3,BLEND_POSSIBLE,313356917.0,-1.5482999999999993,55.92816039082484,0.0020407101181288425,
313569577,NOVEL,0.0167141688738997,205.25053185791583,24.0,14.4863,,4.442288035481902,198,89,BLEND_POSSIBLE,313569594.0,-4.8566,59.37086534453702,0.0001907413208876534,
318928219,NOVEL,0.0418325279225744,383.1461845522305,10.0,12.976,1.23969245,3.446214725970587,339,36,BLEND_POSSIBLE,318928053.0,-3.218400000000001,52.18402007871435,0.002158510221690212,
320474615,NOVEL,0.0154674647474779,21.722492785169344,4.0,14.3993,,4.526452162812213,12,6,BLEND_POSSIBLE,320474625.0,-1.0936000000000003,54.74752166454598,0.00564909833787329,
323961620,NOVEL,0.0043311300626525,61.19139479354838,27.0,13.4311,,5.908496935824232,345,203,BLEND_POSSIBLE,323961564.0,-2.3976000000000006,26.644843372418617,0.00047594988439651835,
329832608,NOVEL,0.0396381064565958,386.2556267008232,3.0,14.7304,,3.504717750697333,577,137,BLEND_POSSIBLE,329832641.0,-5.6434999999999995,46.15861665082888,0.0002191355810643973,
330901906,NOVEL,0.0049831981812006,60.09782681820708,29.0,12.1507,,5.756229601613629,62,23,BLEND_POSSIBLE,331108817.0,1.718399999999999,45.2528697407118,0.02425873550413288,
