TIC,bls_period,bls_depth,bls_snr,verdict,exoplanet_conflict,vsx_match,vsx_name,vsx_type,vsx_period,asassn_match,asassn_queried_ok,asassn_name,asassn_type,asassn_period,gaia_veb_match,gaia_veb_period,gaia_class_match,gaia_class,gaia_class_score,period_check_source,period_check
216742782,0.7469937358724879,0.0552159548770205,372.8712104826228,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
220148279,3.6427614196385134,0.0156983523137653,35.864218316498786,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
22206966,0.9696575722928584,0.1033277556700596,1334.6957351976762,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
222712042,12.97062575807237,0.6214006858942694,2324.2889598626966,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
224835221,13.01948316151508,0.2367608713822854,534.7642647858181,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
230275619,3.1561343130066786,0.0004485323326751,11.45843335931336,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
231260455,1.1126977080058151,0.0884634213696254,109.0356776339106,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
231528689,0.9982346139930548,0.0059654752578635,39.72760695066743,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
23259249,3.9740155961235786,0.0391535931649554,59.74630065357756,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
233415701,5.271641732651179,0.0100988652846398,63.155952515957104,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
234073743,0.6569964840177932,0.0059659671323567,70.96809870151829,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
237115819,14.79205908513923,0.088832292054031,506.9717837496276,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
241818542,13.523083206336189,0.1409634205984407,167.1731491735577,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
247647672,12.852579385439675,0.0187572190168252,86.59405503859625,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
250630820,1.132055270127599,0.0242731388705002,321.75923440785914,KNOWN_OTHER_TYPE,False,True,Gaia DR3 358196458556224640,DSCT|GDOR|SXPHE,,False,True,,,,False,,True,DSCT|GDOR|SXPHE,0.18921366,,no_catalog_period
253168781,3.7402726304851774,0.0081922718239505,54.98500105540781,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
255964136,13.408540527141673,0.1586651527356042,45.46916585389409,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
