span_days,max_period,period_over_max,n_eclipses_observed,n_eclipses_possible,n_data_gaps,frac_intransit_near_gap,frac_all_near_gap,TIC,verdict,bls_period,bls_depth,bls_snr,period_band,lt3_eclipses,at_ceiling
24.750203149331583,12.375101574665791,0.06265809671415754,30,31.919258721245228,1,0.029535864978902954,0.04178019981834696,102334361,NOVEL,0.7754003113129324,0.0098892016378407,65.31156714166337,other,False,False
24.576154362254783,12.288077181127392,0.42643708104878725,3,4.690023660890753,3,0.24060150375939848,0.2866535174227482,111149941,NOVEL,5.240091764822175,0.0004546419920715,10.185398171399184,other,False,False
349.7495101103791,39.8,0.6794113330346131,3,12.9342501458964,2,0.0,0.022359641985353947,118352931,NOVEL,27.040571054777597,0.3329912019049989,1035.8642633975048,26-28.5d,False,False
21.7502438957747,10.87512194788735,0.5465874498043457,3,3.659066816693124,1,0.0,0.04097452934662237,119459681,NOVEL,5.944205171807016,0.1597707075177683,310.5707953376803,other,False,False
1113.1856243499142,39.8,0.8604223584142412,2,32.50669601443249,8,0.0,0.04182823015554664,12080822,NOVEL,34.2448098648868,0.3333664654329376,92.4584519285482,other,True,False
78.0211681964065,39.01058409820325,0.6305993953516855,3,3.171585660789604,6,0.34782608695652173,0.07215148547175972,122328031,NOVEL,24.60005074464305,0.0125579914506316,70.26337245360904,other,False,False
24.416696707304027,12.208348353652013,0.8906893019787498,2,2.245451916349295,1,0.0,0.0457089552238806,122792457,NOVEL,10.873845273427731,0.0876289067569726,206.7083440962177,other,True,False
24.417024815986906,12.208512407993453,0.06678447850636345,28,29.947078194365677,1,0.047400611620795105,0.04477611940298507,125356758,NOVEL,0.8153391345063102,0.005569733614052,27.483939595814203,other,False,False
24.41680434807654,12.20840217403827,0.26747663773093383,7,7.477288547390391,1,0.13333333333333333,0.04477611940298507,125900581,NOVEL,3.265462365578779,0.0258281203990943,13.374851242380425,other,False,False
27.854388299204174,13.927194149602087,0.4333150989497095,5,4.615578835927247,2,0.0,0.06492248062015504,1326118009,NOVEL,6.034863511026644,0.0350042744208291,56.07358787081197,other,False,False
1875.8857844001443,39.8,0.022667399383916074,171,2079.321401409357,9,0.04421898928024502,0.046807970554638915,136191877,NOVEL,0.9021624954798596,0.5656905815020541,555.2885829234801,other,False,False
1459.4889191211187,39.8,0.3414534698777964,104,107.39552850477303,56,0.06097560975609756,0.04261197024415841,137091217,KNOWN_OTHER_TYPE,13.589848101136296,0.0010750287904441,149.3420560037325,13-14.5d,False,False
708.0894349031432,39.8,0.02206007122054308,67,806.4884131094514,7,0.10483870967741936,0.08155961574684498,138407805,KNOWN_OTHER_TYPE,0.8779908345776146,0.0051599895060274,78.9407971409491,other,False,False
24.41662929105155,12.208314645525775,0.06291886444095461,30,31.78696910331041,1,0.040172166427546625,0.04664179104477612,139716826,NOVEL,0.7681332942343571,0.006343846437099,34.504681060215866,other,False,False
24.416640920735517,12.208320460367759,0.06687692445676695,28,29.905681462563575,1,0.046012269938650305,0.04664179104477612,139853641,KNOWN_OTHER_TYPE,0.8164549251720169,0.0095574730006434,85.25854953938801,other,False,False
26.145862770112444,13.072931385056222,0.9601932979617401,2,2.082913934356259,1,0.0,0.037366548042704624,14001269,NOVEL,12.552541100644673,0.2089994234608356,226.05141076705075,13-14.5d,True,True
24.416913244887837,12.208456622443919,0.07101382850128538,26,28.1635287409381,1,0.04560260586319218,0.04477611940298507,142837818,NOVEL,0.8669692448516142,0.0004056038281222,18.07629451556967,other,False,False
24.41691649365339,12.208458246826694,0.061844759976324465,23,32.33903730511112,1,0.06097560975609756,0.04477611940298507,142841561,NOVEL,0.7550291699559759,0.0309780403043623,96.8776297735366,other,False,False
25.083518711863235,12.541759355931617,0.7542785628701495,2,2.6515402908836267,2,0.0,0.05092592592592592,144079288,NOVEL,9.459980222855352,0.0260998902080349,44.09717721264164,other,True,False
50.687619689651,25.3438098448255,0.8129274971071344,1,2.4602440034531434,3,1.0,0.06358974358974359,145593829,NOVEL,20.602679904313145,0.0624676330487405,164.40953606208706,other,True,False
51.02101630966513,25.510508154832564,0.5169096261913482,2,3.869148297229902,3,0.9333333333333333,0.06307222787385554,145599042,NOVEL,13.18662723426584,0.1116019594498085,197.0450575268051,13-14.5d,True,False
50.333552676106365,25.166776338053182,0.04004444798456921,40,49.94450168899028,3,0.04180064308681672,0.0720250521920668,145905547,NOVEL,1.0077896660084578,0.0044938059178001,39.97129754844003,other,False,False
51.02103750672745,25.510518753363726,0.5562792127529096,4,3.595316801615537,3,0.25806451612903225,0.06307222787385554,146204013,NOVEL,14.190971289039512,0.2063522345940655,2793.690762175509,13-14.5d,False,False
51.95820885468311,25.979104427341554,0.1419399169479103,13,14.090469002697587,5,0.10106382978723404,0.07087334247828075,146608979,NOVEL,3.687471924797949,0.0096821746189435,36.47146913521904,other,False,False
23.964529381067223,11.982264690533611,0.0653067362357509,28,30.624712170275924,2,0.11524822695035461,0.08488793450543551,153080360,NOVEL,0.7825225996516298,0.0065641126907423,111.9771643914806,other,False,False
50.33329412875537,25.166647064377685,0.044949580112853035,35,44.494297721551206,3,0.09900990099009901,0.072992700729927,153336799,KNOWN_OTHER_TYPE,1.1312302183921423,0.0096974595409396,56.13702699606745,other,False,False
50.333377725474065,25.166688862737033,0.06287892871367368,25,31.807157674508524,3,0.04929577464788732,0.06985294117647059,154831114,NOVEL,1.582454434959247,0.0321311863896544,114.75730765267308,other,False,False
