TIC,n_points,status,error,bls_period,bls_t0,bls_duration,bls_depth,bls_depth_err,bls_snr,depth_odd,depth_even,odd_even_z,possible_half_period_alias,n_odd,n_even,secondary_phase,secondary_depth,secondary_sigma,secondary_detected
122328031,3073,OK,,24.59778513560679,1535.2549666442137,0.5,0.012803279938914667,0.00017872718193726858,71.63588548835558,0.00019115692659543715,0.018997645969406673,0.4701019443880558,False,26,52,-0.09499999999999997,0.004346533200440983,4.047028188519897,False
163249597,1086,OK,,11.37644927544914,1570.6984327550208,0.244,0.020004153745419858,0.0004932663399020252,40.554467489902464,,,,False,0,25,0.20500000000000002,0.009601074851711244,5.976920709124015,True
180448842,12739,OK,,0.7067256110682726,2770.352672696317,0.5,5.570916643521167,0.00016154244381912049,34485.77669011209,0.0002459754817887294,0.0002459754817887294,0.0,False,5365,5512,,,,False
185326770,862,OK,,11.106800320005439,1519.3242328847077,0.17,0.011035553002469459,0.00024175779676773577,45.64714416665394,,,,False,0,20,-0.235,0.0017023107332809762,0.1921366149034161,False
1961129327,1852,OK,,0.7996989454044808,1711.6759843450823,0.5,5.212685648583694,0.02782004806352956,187.37155437977898,9.546129920297915,1.4888759666495366,1.4595761399786437e-13,False,702,700,,,,False
220477788,12404,OK,,32.28344102006141,1349.3433957329162,0.028,0.08474788617065236,0.00032579416496228696,260.12708416819726,0.00010148697438427945,0.1635182288703524,1.9335141639688564e-13,False,5,3,-0.125,0.0005782765156719938,2.549264568775584,False
224835221,1047,OK,,13.011951145092516,1627.0976783614792,0.5,0.23676087138228544,0.00044273876729050335,534.7642647858181,-0.004421191628510401,0.26108851967921154,4.467895812238169e-15,False,8,32,0.08499999999999996,0.02999426119940074,4.92817954742868,False
230279486,19601,OK,,35.36177465990205,2036.517713040045,0.244,0.8467833391407703,0.0008121585134573969,1042.6330883807077,,,,False,107,0,-0.015000000000000013,0.0039316570416619845,0.3529305924537229,False
230621343,1712,OK,,5.529215557130562,1711.4097457257844,0.04,9.624225609586208,0.44021113664163825,21.86274905039711,27927194239272.914,4.620956310584804,0.06884861812562279,False,8,10,-0.185,14005982816193.309,6.817365766445921,True
231528689,862,OK,,1.0008650447342897,1517.681748520973,0.5,0.005640692785013918,0.00015015315729890528,37.566261585729855,-0.0001852536556326001,0.0015040466326552426,0.16767610654440346,False,243,282,,,,False
23259249,1086,OK,,3.9740155961235786,1628.4670353392085,0.17,0.039153593164955494,0.0006553308361630087,59.746300653577556,0.0511084488286091,0.024059756272645227,16.074528797342108,True,22,32,-0.475,0.00579969258111257,2.566694232320161,False
233153249,6946,OK,,5.689401734556889,1685.7492230105365,0.5,2.0426237656685318e-11,3.0254673019988558e-12,6.75143229714966,-0.6774205239534228,1.2216745163834979,5.616343637276389e-14,False,364,352,-0.125,4.355730241224612,3.7148176861861435,False
240959751,23502,OK,,16.02131490305511,1802.657841972322,0.244,0.0884534068162947,0.0005133311573968648,172.31256186522478,0.05961266272884724,0.08756478429134784,12.645854144613063,True,253,254,0.46499999999999997,0.011504970287172012,7.249296827986725,True
241818542,1081,OK,,13.523083206336189,1596.947033710472,0.244,0.14096342059844078,0.0008432180723717406,167.1731491735577,,,,False,0,13,0.04500000000000004,0.015297051336142342,7.587459647529861,True
258329752,2167,OK,,27.460432810055384,1614.043928041759,0.02,0.07626706980570676,0.0016713827634101488,45.63112141356409,,,,False,2,1,0.46499999999999997,0.0030795016763888183,0.9715657110944264,False
264324043,6998,OK,,2.2083431728504856,3481.7447577627368,0.17,0.07207068161702057,4.993376225179182e-05,1443.3256852067939,0.06447301396881389,0.06553306314440221,7.716325232754418,True,439,263,0.405,0.0005732445935913155,1.370488645111427,False
285526589,1934,OK,,24.186414953795797,1511.0021486616665,0.35000000000000003,0.05271091491154453,0.0005195884201703121,101.44743967593966,0.08773975049167804,0.000683305012131763,29.76092369756113,True,19,18,0.015000000000000013,0.006794308172098917,2.8849588673549706,False
287846593,903,OK,,1.7622511272952033,1469.4801215778346,0.084,0.08460774430331733,2.750168269289125e-05,3076.457002581413,0.08928305241939305,0.08270663110654419,0.9041952938113136,False,25,29,-0.375,0.08761036782012521,5.09400912570146,True
289799635,1100,OK,,12.365231758167015,1543.9735974262808,0.5,0.10226107662941171,0.0008919450810687461,114.64952136613667,,,,False,0,20,-0.32499999999999996,0.0031761371288758777,0.40123533473298506,False
290296164,2211,OK,,17.51667459454205,1550.4272747200596,0.02,0.060290651443378626,0.001339291311218178,45.01683161711854,,,,False,1,3,0.31500000000000006,0.006337521935110058,4.410481604461866,False
290342817,1075,OK,,13.437707144898448,1627.412075943469,0.084,0.8341075445753648,0.0015737062379798052,530.0274755510429,,,,False,1,5,-0.0050000000000000044,109478357269451.52,8.042551954482787,True
294852916,2211,OK,,2.546779832363934,1545.5081197520751,0.244,0.01445934059334241,4.0457544803664797e-05,357.39540457810057,0.013998224332255171,0.013362336216435122,0.14667997486742052,False,130,120,0.09499999999999997,0.0011883408951228747,2.433835685166613,False
307031606,904,OK,,9.583693586425822,1468.36320458051,0.028,0.2223921971180734,0.002810115644936002,79.13987366279305,,,,False,0,3,-0.09499999999999997,0.031748959859409176,3.855453484515209,False
315118781,1963,OK,,11.843602633961588,1523.067727276889,0.02,0.12602975495211563,0.0018300620696742593,68.86638275309876,,,,False,1,4,-0.065,0.0024888758646702813,1.4328579439837261,False
317336819,2263,OK,,7.302141466550282,1631.6688673140638,0.02,0.46285774802489676,0.003473204808698093,133.26531935742534,,,,False,1,4,-0.495,0.002621308367655173,1.9623082960951823,False
319184580,47644,OK,,1.3351644703740522,1956.271936152449,0.12,0.014091790656643243,6.804814111310189e-05,207.08560772029716,0.008292633290203133,0.018809800736428572,75.5924667896372,True,2562,2707,-0.305,0.0010381920464352934,1.1385491836744763,False
319926294,1072,OK,,12.11792908887081,1491.7512676999654,0.058,0.08448257575296109,0.0010292445884876548,82.0821179901442,,,,False,0,7,-0.015000000000000013,0.026046371154817005,3.632331081854944,False
330234939,2244,OK,,13.386822455766584,1749.7705968809998,0.5,0.22011833146280022,0.0055819340665288686,39.4340615348187,0.2486446382373798,0.17916820214097573,15.093077864395841,True,25,31,-0.044999999999999984,0.04084304169988928,5.2368596379548675,True
338100526,1049,OK,,10.357710522263963,1626.2490877559349,0.02,0.9406404232186182,0.0006142666009044282,1531.3227543767587,,,,False,1,3,-0.355,0.2509338238475096,3.927693801669575,False
341355560,9612,OK,,6.474126647657943,2718.9359180524402,0.17,0.0005400956551672266,8.042926025781737e-05,6.715163777907949,0.00043782271942682804,0.00015405679177904474,1.746574862719856,False,147,148,-0.22499999999999998,0.00048109916543626063,2.350551431644996,False
343034455,1086,OK,,3.110793937829511,1625.215652003254,0.12,0.039890893820705646,0.0014458978460491075,27.58901255002687,0.03219680039044981,0.041650688428702454,2.5015230903228,False,18,20,0.245,0.009964803394989619,2.9602219736990367,False
349482650,51291,OK,,39.20400292627966,1351.387568694162,0.02,0.0013921728515492572,0.0002380917289224824,5.847212155792774,0.0013058979828306505,0.0011155191719336432,0.391838405734892,False,18,17,0.495,0.00019702497234375116,3.034998660322576,False
350477886,13367,OK,,2.1769122482150984,1326.474781636391,0.084,0.1275825482569253,0.00012878991428983747,990.625306029826,0.10094742863177886,0.13260300051257978,8.197284888848003e-16,False,316,306,-0.034999999999999976,0.007965019328283973,6.211598016584135,True
356064919,4021,OK,,1.8602620596259094,1984.0430524196627,0.35000000000000003,0.00017751984232566587,3.1380489203355106e-05,5.6570132216640525,8.524093252604281e-05,0.00014620034969625717,1.2931531904556688,False,513,450,0.335,0.0002514753807812964,2.0373592824866713,False
35727587,1086,OK,,0.7470882998160427,1625.2330189584864,0.35000000000000003,0.0019910663231604707,3.421575882008285e-05,58.19149981825976,0.002006308014997349,0.0018035440562705896,0.5444262328650106,False,297,304,,,,False
362115607,1086,OK,,0.8076008601229427,1625.138115299038,0.17,0.03315086780666838,0.0003295747561568007,100.58679309436036,0.03490507590029046,0.02289059384671488,5.425553176857875,True,151,140,0.235,0.006858154018058227,2.4051822063991573,False
366812186,39729,OK,,39.69096696830685,1851.817600256993,0.12,0.6704827370459366,0.001743303458457904,384.6047191571765,,,,False,40,0,0.015000000000000013,0.0030550823298591823,4.369081482474269,False
367301645,2771,OK,,13.102487626568601,2779.501110529682,0.12,0.42710413798652613,0.00017410051932516157,2453.2042732672057,-0.008719156870685363,0.671863742304446,2.4556361236863533,False,10,13,0.04500000000000004,0.012046279477461619,2.105056617844478,False
374042630,35603,OK,,1.398521996085506,2825.544049335417,0.5,0.0585458786778936,0.0004218702587843494,138.77697576169012,0.0004633128358255689,-5.278648500040006e-05,0.13939932646862932,False,8082,7570,-0.355,0.004490657299536682,2.367404461391202,False
374684661,1107,OK,,0.6660762713823981,1569.8588994975466,0.5,0.002578842057472352,2.770230397201297e-05,93.09124829753148,6.279469076375666e-05,4.738606111365229e-05,0.013213467908472552,False,489,506,,,,False
378267838,63506,OK,,0.7269795151859951,1683.4980910394247,0.17,0.03800352805813051,6.728504212048408e-05,564.813914957197,0.002809341862740844,0.05839224038536872,17.75077778302447,True,8962,8951,-0.495,0.003686640443059108,1.4728882086665045,False
378373317,3453,OK,,28.722781569783336,1790.4760338370002,0.35000000000000003,0.21485735481811297,0.019861685773703324,10.81767969074317,,,,False,0,21,-0.024999999999999994,0.25101203074314715,7.381023381735383,True
381979036,13367,OK,,39.22551836118936,1346.4450869628197,0.02,0.9395434853682958,0.0002992692572695093,3139.4587400675855,,,,False,2,2,-0.185,0.0007944462416817899,2.5610800644314393,False
383076940,1081,OK,,0.7803467599286892,1597.304049269448,0.5,0.01937848124527444,0.0031977377371497574,6.060059591549581,-0.0012490057333627291,0.0015355703806707588,0.6849595231124939,False,428,398,,,,False
394083846,1062,OK,,13.294117986920307,1326.4403159464732,0.058,0.013156399152136854,0.0017217247438188713,7.641406792444247,0.0071026279506494205,0.00913321164833858,0.5627833258938729,False,4,7,-0.315,0.007714311441796906,3.7181887485571736,False
401120789,1966,OK,,20.53868587754941,1535.1708932389588,0.35000000000000003,0.3073057099402619,4.209837984320118e-05,7299.703957369545,,,,False,2,18,0.015000000000000013,0.0664017661651789,6.996562112091644,True
402815463,30052,OK,,35.235889711693744,1707.1242541677154,0.02,0.9991354650364728,0.0017463210522931467,572.1373304894182,,,,False,0,2,-0.28500000000000003,0.0005590175329528435,3.8220209620003285,False
406676397,1986,OK,,0.653022862549465,1684.031895102475,0.02,5.275557768413819e-12,5.628133071163888e-15,937.3548389329114,-1.0278103097274975,1.4164294521042227,5.725581473465824e-15,False,38,38,0.355,3.6689814811171053,1.5665552372666354,False
40730002,58148,OK,,37.070291792318656,1705.457001743976,0.02,0.10867604180931671,0.0016985776756640555,63.980613525271984,0.0027817906980742713,0.0007918363811123541,0.49114334621079236,False,14,16,0.135,0.00038107984479662793,2.2463258188922577,False
411504404,2165,OK,,13.634897854102503,1583.0256963346737,0.12,0.2152772353263267,0.004191511509185378,51.3602872984037,,,,False,2,6,0.015000000000000013,0.015095988738957455,2.1562040450885753,False
411731832,1081,OK,,13.416853939154716,1607.5777271993159,0.17,0.07018668349495899,0.00022224252155019766,315.8112273267472,0.07517936021359528,0.07636223898451922,0.21140649663367886,False,9,9,0.495,0.013193842654186883,2.5940440076502873,False
420981052,2027,OK,,4.000354295189319,1438.4379346858855,0.02,0.4606754142182676,0.001046612458673441,440.15854235307296,0.0005790363425175471,0.003379866347268501,5.996745514363446e-17,False,6,8,0.14500000000000002,0.007429270783951392,3.4719250556595886,False
42256607,46625,OK,,1.162437046082001,1683.7477806257234,0.17,0.06903162711607816,0.0004640057172040378,148.773225321538,0.0770325371789986,0.07746810746833888,0.3495983945695245,False,3942,4168,-0.485,0.12431340456879614,3.051525984711678,False
