TIC,role,verdict,sector,n_in,n_out,dip_sigma,diff_peak_snr,centroid_offset_px,centroid_offset_arcsec,nearest_capable_TIC,nearest_capable_dist_px,nearest_capable_dTmag,n_capable_in_cutout,note
427332229,control,ON_TARGET,42,75,1238,32.702257113595216,10.901643273364064,0.3800921981545699,7.981936161245968,,,,0,
158329671,control,OFF_TARGET,9,60,463,19.389786167172492,221.22132372742604,1.846199505416417,38.77018961374476,158329676,0.06638375217007281,-4.4039,4,
287846593,candidate,OFF_TARGET,6,33,383,43.44948467034466,159.714424280528,1.3905800664911374,29.202181396313886,287846583,0.1658594662193566,-8.08693,25,"saturated star in cutout (TIC 287846583, Tmag 6.8) - bleed trails can carry its variability;"
146204013,candidate,OFF_TARGET,8,12,414,32.599622688872934,50.45608298559811,1.2395581112814302,26.030720336910036,146204045,0.3417806508206616,-4.7331,26,
437150434,candidate,OFF_TARGET,34,69,1514,12.653841067965635,58.959772912210084,5.397943749684365,113.35681874337166,437150458,3.321428771256495,1.4756,5,
118352931,candidate,OFF_TARGET,80,26,4480,161.68582150145315,1689.332025131812,6.150646529446553,129.16357711837762,118352692,1.4760074039110718,-1.1007999999999996,3,
426236217,candidate,OFF_TARGET,12,44,522,170.3628541463274,311.0321901826954,1.4320875644461366,30.07383885336887,426236231,0.005786033150149048,-2.8415,16,
136191877,candidate,INCONCLUSIVE,15,111,468,-5.423914672461985,4.733790510298503,5.814439917293483,122.10323826316315,136191848,5.775206397938359,-0.9133999999999993,3,eclipse not detected in this cutout (ephemeris or FFI dilution)
421566477,candidate,OFF_TARGET,12,128,507,256.72002645314836,345.22648353510823,1.9695696127282576,41.36096186729341,423398759,0.08940547092489277,-4.207800000000001,315,
237115819,candidate,ON_TARGET,15,6,372,62.5036057233817,24.50367473585397,0.14545974239357226,3.0546545902650175,237115821,1.7336125478572733,2.4997000000000007,4,
464765654,candidate,OFF_TARGET,12,126,467,11.368959041135257,281.8190945973593,3.13892515849503,65.91742832839563,464765603,0.07932865277844076,-4.732199999999999,58,
73561499,candidate,OFF_TARGET,40,350,1577,3.504389576544899,119.68989089014792,1.9745813219734965,41.46620776144343,73561494,0.21708264296988905,0.38890000000000136,10,
329832608,candidate,INCONCLUSIVE,11,22,520,-3.495636651087611,122.76434934175641,2.7646303161027452,58.05723663815765,1013886010,0.2829209418645338,3.250399999999999,393,eclipse not detected in this cutout (ephemeris or FFI dilution)
318928219,candidate,OFF_TARGET,11,54,471,36.959772733374265,62.30974091414495,2.410503722969324,50.6205781823558,318928053,0.11013630201024384,-3.218400000000001,97,
76879277,candidate,INCONCLUSIVE,19,69,464,0.3846886261457203,5.831243654548977,1.839967824706704,38.639324318840785,76879303,0.4133561234952721,-1.7850000000000001,6,eclipse not detected in this cutout (ephemeris or FFI dilution)
66732476,candidate,ON_TARGET,46,68,1386,92.991994723449,24.557985618046754,0.381022109158112,8.001464292320353,,,,0,
294852916,candidate,OFF_TARGET,9,72,454,15.561292328375464,199.51225337957365,2.284561893981449,47.975799773610426,294852834,0.12855516319667687,-3.876999999999999,288,
806803694,candidate,INCONCLUSIVE,8,15,480,-15.93426927736642,42.72655401030265,1.8349110575884384,38.533132209357206,341624499,0.5043378373678956,-3.7767,36,eclipse not detected in this cutout (ephemeris or FFI dilution)
29495157,candidate,ON_TARGET,1,26,511,8.471426993681472,49.99973843772045,0.2374784666286611,4.987047799201883,29495166,1.794422294563443,-0.4765000000000015,2,
119459681,candidate,ON_TARGET,6,24,395,102.28224044777858,65.97414210859698,0.08948963236352235,1.8792822796339694,119459668,1.0720279794938374,1.1795999999999989,12,
309240602,candidate,UNRESOLVED,18,35,467,51.35493764849929,12.040147510657428,0.08402172689187316,1.7644562647293365,309240600,0.08261738317437486,-0.5846999999999998,12,a capable neighbour is as close to the dimming as the target
304889252,candidate,OFF_TARGET,10,56,467,37.73547526906444,41.60050653993165,1.2895873251626429,27.0813338284155,304889195,0.14751002778261801,-0.8950999999999993,211,
