TIC,tess_eb_period,tess_eb_morph
386166904,12.3556695,0.189
425064757,0.2615397,0.447
177077475,23.4262368,0.051
238196979,9.4228509,0.313
287328866,2.0767992,0.4
149573659,4.373719,0.175
399144800,27.2154167,0.124
162585265,0.5123344,0.593
22457438,0.3606758,0.717
98628827,0.4908602,0.921
158713903,3.5943016,0.481
321455348,7.6818847,0.213
450637853,0.4971263,0.784
142109430,0.6141031,0.821
231075361,0.3197352,1.002
280667311,1.627885,0.935
167890109,0.3769767,0.709
319936228,9.6464394,0.321
30034081,2.3446089,0.506
309257814,1.2383848,0.362
308457026,0.6439002,1.01
399423563,0.8841726,0.685
147026702,2.0728219,0.456
158673914,0.3733744,0.751
318825030,5.1848468,0.266
347809861,1.811452,0.54
296449358,0.3351379,0.943
349154435,4.4321625,0.192
260128333,14.6085828,0.123
282051803,2.4636031,0.414
363149298,3.1756342,0.542
382067804,26.1313581,0.164
399253092,8.7212403,0.294
15445546,1.6827975,0.445
452734608,1.9944549,0.565
298079609,0.495386,0.834
382028425,8.846201,0.353
279569707,3.9794091,0.384
308451526,0.7896583,0.596
231810776,0.2327289,0.704
147214032,2.4877086,0.488
443494454,3.575533,0.41
350622185,1.1685719,0.585
408552008,0.5234448,0.41
437297176,4.3960301,0.544
21827849,0.9426368,0.458
382512330,0.8911385,0.866
141333573,4.2473074,0.378
131625230,2.2134409,0.491
220359766,1.7598716,0.506
260131665,1.6725346,0.661
278683641,4.2418211,0.314
309146836,5.4279442,0.255
439519959,2.4468506,0.555
83135408,1.8017221,0.531
260502102,7.3152083,0.125
318512022,4.8242518,0.291
299702740,1.4652035,0.616
390554357,3.6473992,0.579
118313102,9.255727,0.18
248111238,4.6551796,0.347
142262969,15.5149339,0.086
388129029,0.2972816,0.81
141914317,0.4371692,0.784
94637805,0.2768891,0.786
167526485,5.0114962,0.547
141809359,12.15756,0.089
258314976,4.9662683,0.437
324675819,3.3029374,0.456
350479101,11.9168906,0.127
141268467,4.1810902,0.337
382188882,4.8000945,0.161
89787778,1.0826341,0.662
358111274,43.8434276,0.01
248074315,15.7235135,0.103
178889597,1.884499,0.515
162585282,0.512331,0.594
438942374,1.709134,0.489
467238286,3.4143331,0.608
333127661,7.8942715,0.29
281924357,15.0403573,0.044
142148228,1.5612094,0.46
356524567,1.153964,0.531
405177882,13.7148969,0.132
364392434,1.721769,0.777
286191384,3.6118208,0.449
350443417,1.2167214,0.514
458199516,3.0172063,0.429
178723395,1.7615731,0.385
77557473,0.5815637,0.513
322078735,0.7316135,0.653
349156098,1.2014857,0.551
22481474,0.4403005,0.433
403757320,1.0025046,0.263
364395234,1.3757531,0.505
99028324,9.40434,0.256
1630438,0.3905231,0.989
58466459,3.8716104,0.294
167694820,0.5221897,0.707
391550834,3.6056426,0.34
397361078,2.2077215,0.759
219373406,0.8618965,0.601
23559851,0.3248137,0.611
271999940,0.5642229,0.713
279323859,1.0799812,0.572
38423705,0.5336538,0.809
158450472,1.3530058,0.566
443494351,0.5158002,0.723
384031569,20.8219638,0.135
376915487,2.5395591,0.55
269347089,8.2596821,0.496
102169275,13.099714,0.196
374859582,1.3049652,0.559
152147549,0.2294902,0.746
167554898,4.4537006,0.367
349480752,77.7343273,0.145
349762699,31.3956354,0.106
32150630,1.4920361,0.349
99028319,9.4045943,0.263
181862539,3.1445398,0.564
452575636,2.0422585,0.425
402107145,0.2923328,0.721
