TIC,Tmag,status,author_used,n_sectors,n_points,authors_tried,error
437162640,11.15,OK,GSFC-ELEANOR-LITE,2,2211,GSFC-ELEANOR-LITE,
378068052,12.12,OK,QLP,5,23441,QLP,
313697172,12.38,OK,QLP,6,32771,QLP,
370587413,12.88,OK,GSFC-ELEANOR-LITE,2,2167,GSFC-ELEANOR-LITE,
43332384,11.16,OK,TESS-SPOC,1,7313,TESS-SPOC,
403648240,12.18,OK,QLP,2,13018,QLP,
273850494,11.18,OK,TESS-SPOC,1,1072,TESS-SPOC,
193593800,12.93,OK,QLP,5,45686,QLP,
229494598,10.62,OK,SPOC,7,111924,SPOC,
239725587,11.91,OK,QLP,8,52451,QLP,
309223749,12.72,OK,GSFC-ELEANOR-LITE,1,1107,GSFC-ELEANOR-LITE,
31701995,12.53,OK,GSFC-ELEANOR-LITE,3,2888,GSFC-ELEANOR-LITE,
367167769,12.34,OK,QLP,6,31444,QLP,
111122174,8.44,OK,TESS-SPOC,1,9467,TESS-SPOC,
318887646,12.3,OK,TESS-SPOC,2,4138,TESS-SPOC,
433790982,12.7,OK,QLP,8,49888,QLP,
333732585,11.58,OK,TESS-SPOC,13,118182,TESS-SPOC,
181639959,13.0,OK,QLP,1,10331,QLP,
229676619,11.6,OK,TESS-SPOC,42,208388,TESS-SPOC,
235552009,12.47,OK,GSFC-ELEANOR-LITE,1,904,GSFC-ELEANOR-LITE,
446493783,10.56,OK,QLP,2,22312,QLP,
258268207,12.48,OK,QLP,9,50434,QLP,
355979380,10.84,OK,TESS-SPOC,3,23113,TESS-SPOC,
358416013,10.72,OK,TESS-SPOC,3,8613,TESS-SPOC,
203230329,9.7,OK,QLP,2,12252,QLP,
183647770,12.07,OK,GSFC-ELEANOR-LITE,1,1100,GSFC-ELEANOR-LITE,
373700841,11.77,OK,QLP,8,46837,QLP,
35852001,9.8,OK,TESS-SPOC,2,20531,TESS-SPOC,
311051394,8.18,OK,TESS-SPOC,1,11270,TESS-SPOC,
333569564,11.81,OK,GSFC-ELEANOR-LITE,2,2160,GSFC-ELEANOR-LITE,
397004906,11.82,OK,TESS-SPOC,4,9010,TESS-SPOC,
40684627,12.88,OK,QLP,6,34713,QLP,
138403932,12.08,OK,TESS-SPOC,1,3201,TESS-SPOC,
44533527,10.43,OK,TESS-SPOC,2,13990,TESS-SPOC,
467214801,9.0,OK,TESS-SPOC,11,104789,TESS-SPOC,
365994829,12.53,OK,TESS-SPOC,2,3507,TESS-SPOC,
20814790,12.31,OK,QLP,7,45663,QLP,
411537393,12.38,OK,GSFC-ELEANOR-LITE,2,2165,GSFC-ELEANOR-LITE,
342324942,11.69,OK,QLP,4,19453,QLP,
222703556,10.94,OK,QLP,1,10383,QLP,
411437999,11.92,OK,QLP,5,52856,QLP,
93196458,11.87,OK,GSFC-ELEANOR-LITE,2,1966,GSFC-ELEANOR-LITE,
180179270,12.3,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
29454613,12.34,OK,QLP,5,30312,QLP,
43795716,12.28,OK,QLP,5,29363,QLP,
251898081,10.41,OK,TESS-SPOC,5,45998,TESS-SPOC,
