TIC,RAJ2000,DEJ2000,Tmag
42256323,302.383307,35.970165,10.48
379654616,181.37012,-63.606784,13.37
330564044,212.17929,-61.880088,13.98
230913119,249.477394,-44.507665,14.4
230375743,285.09566,63.43822,14.74
