TIC,n_points_raw,n_points,status,error,n_dropped_physical,frac_dropped_physical,n_segments,max_segment_median_offset,max_segment_scatter_ratio,min_segment_scatter_ratio,inhomogeneous_photometry,bls_period,bls_t0,bls_duration,bls_depth,bls_depth_err,bls_snr,depth_too_small,non_finite_bls_result,n_in_transit,below_noise_floor,frac_above_1_2,noisy_photometry,n_eclipses_observed,too_few_eclipses,frac_intransit_near_gap,frac_all_near_gap,gap_edge_suspect,robust_depth,robust_sigma,depth_ratio,robust_depth_mismatch,depth_flagged_implausible,insufficient_intransit_points,depth_odd,depth_even,odd_even_z,possible_half_period_alias,n_odd,n_even,secondary_phase,secondary_depth,secondary_sigma,secondary_detected,secondary_flagged_implausible
102334361,1101,1101,OK,,0,0.0,2,0.0505927353411082,1.2223250128863927,0.7776749871136076,False,0.7754003113129324,1544.1279455078813,0.5,0.009889201637840794,0.00015141577626503317,65.31156714166337,False,False,711,False,0.010899182561307902,False,30,False,0.029535864978902954,0.04178019981834696,False,0.0007819749844901747,4.379517125825686,0.07907362122114753,True,True,False,0.00036262738682824036,0.0006569406441667702,0.034847114519779954,False,427,426,nan,nan,nan,False,False
102549137,904,895,OK,,9,0.00995575221238938,2,0.015427287594248808,1.1241989429991328,0.8758010570008671,False,8.960324361985574,1473.5153488661858,0.5,0.007056547378764759,0.0008013926235881278,8.805356040301465,False,False,48,True,0.0033519553072625698,False,2,True,0.0,0.0335195530726257,False,0.006574025024198793,7.205945132549653,0.9316206171848262,False,True,False,0.0026963845852665536,0.007106320046374015,0.2656341366111033,False,29,29,-0.455,0.004378540661157171,2.14257568324816,False,False
111149941,1521,1521,OK,,0,0.0,3,0.017085393031618597,1.0042349720772776,0.9713323381412987,False,5.240091764822175,2695.257535755344,0.35000000000000003,0.0004546419920715768,4.463664398984629e-05,10.185398171399184,False,False,133,False,0.0,False,3,False,0.24060150375939848,0.2866535174227482,False,0.00046591406510831934,8.482366054394404,1.0247932950174297,False,False,False,0.00023303836309074288,0.0004215401190679202,2.2906155526735255,False,60,98,0.475,0.0005800149378301089,2.770256984780163,False,False
111392188,15006,15006,OK,,0,0.0,3,0.02047867345630315,1.283742354420242,0.878482598811019,False,21.240919491225785,2382.783820250469,0.02,0.2596376339316738,0.0024788364165447586,104.74173777613844,False,False,2,False,0.0006664001066240171,False,0,True,0.0,0.028655204584832734,False,nan,nan,nan,True,True,True,nan,nan,nan,False,0,4,0.335,0.004681083342545467,3.7561536132275695,False,False
118352931,30841,30725,OK,,116,0.003761226938166726,3,0.015992934174191037,1.0739072339516056,0.8373117080789436,False,27.040571054777594,3490.87228588012,0.084,0.3329912019049989,0.00032146219699946937,1035.8642633975048,False,False,81,False,0.006118795768917819,False,3,False,0.0,0.022359641985353947,False,0.32110378886810254,488.97493694144936,0.9643011197626542,False,False,False,0.30855270430485837,0.316708097215041,0.6984433712395796,False,43,57,-0.485,0.023116279506876225,5.023713603381406,True,False
119459681,903,903,OK,,0,0.0,2,0.09141229122125955,1.1577689603104788,0.8422310396895212,False,5.944205171807016,1471.4023057704937,0.244,0.1597707075177683,0.0005144421494752955,310.5707953376803,False,False,35,False,0.01107419712070875,False,3,False,0.0,0.04097452934662237,False,0.1746969857620888,199.76239615843235,1.093423121648632,False,False,False,0.14397700935221125,0.17191425415401484,1.192454016369135,False,14,26,-0.41500000000000004,0.0058445028583207215,2.6642217097814953,False,False
120037212,1177,1177,OK,,0,0.0,1,nan,nan,nan,False,4.854126258842557,1657.6932892960076,0.02,0.25533988820750547,0.005015938308129275,50.90570747125797,False,False,1,False,0.0008496176720475786,False,0,True,0.0,0.03313508920985556,False,nan,nan,nan,True,True,True,0.011675347566096339,0.00012412571645037396,0.9959467681318055,False,5,5,0.405,0.011897704032403977,3.9216140251115146,False,False
12080822,44901,44874,OK,,27,0.0006013229104028864,6,0.03270320609925721,1.2063794632135585,0.8059921924990792,False,34.2448098648868,2453.7335775867205,0.028,0.3333664654329376,0.0036055813014321597,92.4584519285482,False,False,25,False,0.0126576636805277,False,2,True,0.0,0.04182823015554664,False,0.19056069996573677,31.464454395303843,0.571625282459826,False,True,False,0.3839463534015831,0.003817300212893393,17.81346079594462,True,15,15,-0.07500000000000001,0.006965803544790039,1.783584394890109,False,False
122328031,3073,3063,OK,,10,0.0032541490400260333,5,0.11041090416034016,1.4254842446369964,0.792794971854762,False,24.60005074464305,1535.2513052902768,0.5,0.012557991450631693,0.00017872742244080342,70.26337245360904,False,False,69,False,0.018282729350310153,False,3,False,0.34782608695652173,0.07215148547175972,True,0.012185503570028122,48.51288796467929,0.9703385782616667,False,False,False,0.00018710794743326264,0.019661183059724308,0.8985236549682267,False,26,51,-0.09499999999999997,0.004473018218385749,4.192298630549693,False,False
122792457,1072,1072,OK,,0,0.0,2,0.015858623005373496,1.0478498571312973,0.9521501428687027,False,10.873845273427733,1494.7038368800643,0.5,0.08762890675697266,0.0004239253482490457,206.7083440962177,False,False,45,False,0.018656716417910446,False,2,True,0.0,0.0457089552238806,False,0.11517403384014402,160.88792585630958,1.314338362791221,False,True,False,0.14322116546479835,-0.00164788485542533,6.344456318723977,True,29,26,0.385,0.009704225331575445,3.9689594779823554,False,False
125356758,1072,1072,OK,,0,0.0,2,0.015714419246054403,1.020489791860103,0.9795102081398969,False,0.8153391345063102,1492.2252638474652,0.5,0.0055697336140520925,0.00020265412076878386,27.483939595814203,False,False,654,False,0.005597014925373134,False,28,False,0.047400611620795105,0.04477611940298507,False,0.0005319624749346996,3.342510101753572,0.09550950041714586,True,True,False,0.0005123398631909915,0.0004409166904506545,0.0306367279595513,False,384,401,nan,nan,nan,False,False
125900581,1072,1072,OK,,0,0.0,2,0.030799206854098263,1.0412667240502278,0.9587332759497723,False,3.265462365578779,1492.7984270974143,0.084,0.0258281203990943,0.001931095900136342,13.374851242380425,False,False,30,False,0.002798507462686567,False,7,False,0.13333333333333333,0.04477611940298507,False,0.022532867166342507,8.86097645847107,0.872416065054918,False,False,False,0.02129748534852971,0.01796040620180872,0.47867656553777116,False,20,18,0.475,0.020170892428628795,3.8030288719308256,False,False
126939797,1712,269,UNRELIABLE_DATA,,1441,0.8417056074766355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127319649,960,949,OK,,11,0.011458333333333333,3,0.8174904247195351,4.001713840252676,0.9660606029336201,True,4.208740629269853,1600.9413613043569,0.02,0.2569657522008659,0.0032516734987312244,79.02569317034192,False,False,3,False,0.003161222339304531,False,0,True,0.6666666666666666,0.10432033719704953,True,0.3145954844660337,29.82624832630135,1.2242700895803404,False,True,True,0.008355466747316687,-0.0036820260539933702,0.3771888585092847,False,6,5,-0.485,0.028280861813515523,4.333555257570967,False,False
12915138,28422,15997,UNRELIABLE_DATA,,12425,0.4371613538807966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132203740,2211,2211,OK,,0,0.0,3,0.040470247371143256,1.1202244315853738,0.8873441161766715,False,13.136503936166221,1543.3400555473613,0.028,0.2869911110468745,0.002567194817564679,111.7917148645241,False,False,2,False,0.0,False,0,True,0.0,0.06512890094979647,False,nan,nan,nan,True,True,True,nan,nan,nan,False,0,3,-0.034999999999999976,0.01694882833669975,1.7589738071744614,False,False
1326118009,1048,1032,OK,,16,0.015267175572519083,2,0.0717086815174554,1.1184375256526922,0.8815624743473081,False,6.034863511026644,1626.1436876765451,0.244,0.03500427442082912,0.000624256013392179,56.07358787081197,False,False,45,False,0.014534883720930232,False,5,False,0.0,0.06492248062015504,False,0.037186393072926816,20.35509631230584,1.0623386340154857,False,False,False,0.03721301473818284,0.03264333864345703,0.22629518489515377,False,21,33,0.485,0.01007191069760216,1.960714010226327,False,False
133776248,2726,2726,OK,,0,0.0,4,0.10960674819843001,1.8594869637219877,0.39478487424999587,False,10.952177738106617,2459780.5112440335,0.04,0.09114746707470417,0.002882142733468505,31.62489699634447,False,False,5,False,0.0,False,1,True,1.0,0.1603081438004402,True,0.09652402773890967,113.01319843162612,1.0589874939673187,False,True,True,nan,nan,nan,False,0,5,0.03500000000000003,0.004298141804889299,3.378882576370941,False,False
