TIC,trustworthy,bls_period,bls_duration,duty_cycle,duration_at_max,bls_depth,bls_snr,robust_depth,robust_sigma,depth_ratio,n_in_box,verdict
102334361,True,0.7754003113129324,0.5,0.64482821673541,True,0.0098892016378407,65.31156714166337,0.0007819749844901747,4.379517125825686,0.07907362122114828,711,NOVEL
102549137,False,8.960324361985574,0.5,0.055801551350223876,True,0.0070565473787647,8.805356040301465,0.006574025024198793,7.205945132549653,0.9316206171848341,48,(no F4 verdict)
111149941,True,5.240091764822175,0.35,0.06679272343084194,False,0.0004546419920715,10.185398171399184,0.00046591406510831934,8.482366054394404,1.0247932950176029,133,NOVEL
111392188,False,21.240919491225785,0.02,0.0009415788242247053,False,0.2596376339316738,104.74173777613844,,,,2,(no F4 verdict)
118352931,True,27.040571054777597,0.084,0.003106443271106831,False,0.3329912019049989,1035.8642633975048,0.32110378886810254,488.97493694144936,0.9643011197626542,81,NOVEL
119459681,True,5.944205171807016,0.244,0.04104838122971871,False,0.1597707075177683,310.5707953376803,0.1746969857620888,199.76239615843235,1.093423121648632,35,NOVEL
120037212,False,4.854126258842557,0.02,0.00412020597189182,False,0.2553398882075054,50.90570747125797,,,,1,(no F4 verdict)
12080822,False,34.2448098648868,0.028,0.0008176421510434501,False,0.3333664654329376,92.4584519285482,0.19056069996573677,31.464454395303843,0.571625282459826,25,(no F4 verdict)
122328031,True,24.60005074464305,0.5,0.020325161325485515,True,0.0125579914506316,70.26337245360904,0.012185503570028122,48.51288796467929,0.9703385782616738,69,NOVEL
122792457,False,10.873845273427731,0.5,0.04598189393239237,True,0.0876289067569726,206.7083440962177,0.11517403384014402,160.88792585630958,1.314338362791222,45,(no F4 verdict)
125356758,True,0.8153391345063102,0.5,0.6132417528354642,True,0.005569733614052,27.483939595814203,0.0005319624749346996,3.342510101753572,0.09550950041714745,654,NOVEL
125900581,True,3.265462365578779,0.084,0.025723769131576448,False,0.0258281203990943,13.374851242380425,0.022532867166342507,8.86097645847107,0.872416065054918,30,NOVEL
