TIC,bls_period,odd_even_z,alias_flagged,true_period_if_aliased,centroid_offset_px,nearest_capable_dist_px,margin_px,below_safety_floor
437150434,5.285343164440589,1.0960817177325444,False,,0.0656919508393115,1.745417481253805,1.6797255304144936,False
237115819,14.79205908513923,1.6058555515305766,False,,0.1753078533105561,1.7220597860086806,1.5467519326981245,False
66732476,3.1087371204482817,2.6023980300093927,False,,0.3606771789051533,,,False
29495157,5.147448543522719,20.17096867093843,True,10.294897087045438,0.2381002096616305,1.793059786907815,1.5549595772461846,False
119459681,5.944205171807016,1.192454016369135,False,,0.1118967634365979,1.0529280256790785,0.9410312622424806,False
411434067,1.353604313972901,9.798273240972716,True,2.707208627945802,0.1875378190777014,1.2109431877937784,1.0234053687160771,False
330901906,3.732068126022025,0.3601110578418418,False,,0.1823062086568186,0.2480260861984934,0.0657198775416748,True
303470667,5.431909907725591,2.6054124599335258,False,,0.4126257037533103,0.5363940476502346,0.12376834389692426,False
273158289,1.151882938585293,1.416465585937647,False,,0.1127992458178752,0.1186507448304298,0.005851499012554592,True
111149941,5.240091764822175,2.290615552673525,False,,0.9763914466181152,1.6468370743530305,0.6704456277349153,False
